title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
how to learn online;124980.0;edx;introductory;education & teacher training;en;2 weeks;49.0;usd;https://www.edx.org/course/how-to-learn-online;;;;;
programming for everybody (getting started with python);293864.0;the university of michigan;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt;;;;;
cs50's introduction to computer science;2442271.0;harvard university;introductory;computer science;en;12 weeks;90.0;usd;https://www.edx.org/course/cs50s-introduction-to-computer-science;;;;;
the analytics edge;129555.0;massachusetts institute of technology;intermediate;data analysis & statistics;en;13 weeks;199.0;usd;https://www.edx.org/course/the-analytics-edge;;;;;
marketing analytics: marketing measurement strategy;81140.0;university of california, berkeley;introductory;computer science;en;4 weeks;249.0;usd;https://www.edx.org/course/marketing-analytics-marketing-measurement-strategy;;;;;
introduction to project management;301793.0;university of adelaide;introductory;business & management;en;6 weeks;199.0;usd;https://www.edx.org/course/introduction-to-project-management;;;;;
leading high-performing teams;32847.0;the university of queensland;intermediate;communication;en;10 weeks;5.0;usd;https://www.edx.org/course/leading-high-performing-teams;;;;;
the foundations of happiness at work;67073.0;university of california, berkeley;introductory;business & management;en;4 weeks;199.0;usd;https://www.edx.org/course/the-foundations-of-happiness-at-work;;;;;
managing study; stress and mental health at university;23061.0;curtin university;introductory;health & safety;en;2 weeks;49.0;usd;https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers;;;;
six sigma: define and measure;92411.0;technische universitï¿½ï¿½t mï¿½;introductory;business & management;en;8 weeks;99.0;usd;https://www.edx.org/course/six-sigma-define-and-measure;;;;;
fat chance: probability from the ground up;66835.0;harvard university;introductory;math;en;7 weeks;49.0;usd;https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2;;;;;
chasing yourï¿½ï¿½dream: how to end procrastination and get a job you ;44711.0;national research nuclear university;introductory;communication;en;5 weeks;49.0;usd;https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and;;;;;
bitcoin and cryptocurrencies;83398.0;university of california, berkeley;introductory;computer science;en;6 weeks;99.0;usd;https://www.edx.org/course/bitcoin-and-cryptocurrencies;;;;;
english grammar and style;;the university of queensland;introductory;humanities;en;8 weeks;99.0;usd;https://www.edx.org/course/english-grammar-and-style;;;;;
ethics in action;6366.0;sdg academy;intermediate;ethics;en;10 weeks;49.0;usd;https://www.edx.org/course/ethics-in-action;;;;;
introduction to fintech;72767.0;university of hong kong;introductory;economics & finance;en;6 weeks;199.0;usd;https://www.edx.org/course/introduction-to-fintech;;;;;
data science: r basics;528782.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-r-basics;;;;;
python basics for data science;228809.0;ibm;introductory;data analysis & statistics;en;5 weeks;39.0;usd;https://www.edx.org/course/python-basics-for-data-science;;;;;
the science of beer;39085.0;wageningen university & research;introductory;food & nutrition;en;6 weeks;49.0;usd;https://www.edx.org/course/the-science-of-beer;;;;;
strategic social media marketing;103640.0;boston university;advanced;business & management;en;6 weeks;399.0;usd;https://www.edx.org/course/strategic-social-media-marketing;;;;;
cs50's introduction to artificial intelligence with python;258006.0;harvard university;introductory;computer science;en;7 weeks;199.0;usd;https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python;;;;;
cs50's introduction to game development;346748.0;harvard university;intermediate;computer science;en;12 weeks;149.0;usd;https://www.edx.org/course/cs50s-introduction-to-game-development;;;;;
rhetoric: the art of persuasive writing and public speaking;320225.0;harvard university;introductory;humanities;en;8 weeks;99.0;usd;https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking;;;;;
cs50's web programming with python and javascript;698950.0;harvard university;intermediate;computer science;en;12 weeks;90.0;usd;https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript;;;;;
contract law: from trust to promise to contract;414181.0;harvard university;intermediate;business & management;en;8 weeks;125.0;usd;https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract;;;;;
fundamentals of neuroscience; part 1: the electrical properties of the neuron;380167.0;harvard university;introductory;biology & life sciences;en;5 weeks;99.0;usd;https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical;;;;
justice;392588.0;harvard university;introductory;humanities;en;12 weeks;99.0;usd;https://www.edx.org/course/justice-2;;;;;
data science: machine learning;276209.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-machine-learning;;;;;
child protection: children's rights in theory and practice;212453.0;harvard university;introductory;social sciences;en;16 weeks;99.0;usd;https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr;;;;;
ielts academic test preparation;1103777.0;the university of queensland;introductory;communication;en;8 weeks;99.0;usd;https://www.edx.org/course/ielts-academic-test-preparation;;;;;
the architectural imagination;406181.0;harvard university;introductory;architecture;en;10 weeks;99.0;usd;https://www.edx.org/course/the-architectural-imagination;;;;;
toeflï¿½ï¿½ test preparation: the insiderï¿½ï¿½;1022489.0;educational testing service;introductory;communication;en;6 weeks;49.0;usd;https://www.edx.org/course/toefl-test-preparation-the-insiders-guide;;;;;
principles of biochemistry;257600.0;harvard university;intermediate;medicine;en;15 weeks;199.0;usd;https://www.edx.org/course/principles-of-biochemistry;;;;;
using python for research;262183.0;harvard university;intermediate;computer science;en;12 weeks;99.0;usd;https://www.edx.org/course/using-python-for-research;;;;;
hinduism through its scriptures;140782.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/hinduism-through-its-scriptures;;;;;
basic spanish 1: getting started;400169.0;universitat politï¿½ï¿½cnica de vale;introductory;communication;en;7 weeks;40.0;usd;https://www.edx.org/course/basic-spanish-1-getting-started;;;;;
the health effects of climate change;110024.0;harvard university;introductory;environmental studies;en;7 weeks;99.0;usd;https://www.edx.org/course/the-health-effects-of-climate-change;;;;;
inglï¿½ï¿½s bï¿½ï¿½sico: conversacional y ne;79671.0;universidades anï¿½ï¿½;introductory;business & management;es;4 weeks;49.0;usd;https://www.edx.org/course/fundamentos-de-ingles-basico-conversacional-y-networking;;;;;
statistics and r;314586.0;harvard university;intermediate;data analysis & statistics;en;4 weeks;249.0;usd;https://www.edx.org/course/statistics-and-r;;;;;
science & cooking: from haute cuisine to soft matter science (chemistry);145011.0;harvard university;introductory;chemistry;en;16 weeks;199.0;usd;https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matter;;;;;
pyramids of giza: ancient egyptian art and archaeology;123870.0;harvard university;introductory;art & culture;en;8 weeks;99.0;usd;https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol;;;;;
predictionx: omens; oracles & prophecies;91566.0;harvard university;introductory;social sciences;en;1 weeks;25.0;usd;https://www.edx.org/course/omens-oracles-prophecies;;;;
excel: fundamentos y herramientas;284279.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;8 weeks;50.0;usd;https://www.edx.org/course/excel-fundamentos-y-herramientas;;;;;
lessons from ebola: preventing the next pandemic;91983.0;harvard university;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/lessons-from-ebola-preventing-the-next-pandemic;;;;;
improving global health: focusing on quality and safety;127353.0;harvard university;intermediate;social sciences;en;10 weeks;99.0;usd;https://www.edx.org/course/improving-global-health-focusing-on-quality-and-sa;;;;;
cs50 for lawyers;87336.0;harvard university;introductory;computer science;en;10 weeks;99.0;usd;https://www.edx.org/course/cs50-for-lawyers;;;;;
data science: visualization;171258.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-visualization;;;;;
christianity through its scriptures;125051.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/christianity-through-its-scriptures;;;;;
the science of happiness;475614.0;university of california, berkeley;introductory;social sciences;en;11 weeks;169.0;usd;https://www.edx.org/course/the-science-of-happiness-3;;;;;
leaders of learning;231131.0;harvard university;introductory;communication;en;10 weeks;99.0;usd;https://www.edx.org/course/leaders-of-learning;;;;;
exercising leadership: foundational principles;57814.0;harvard university;introductory;business & management;en;4 weeks;99.0;usd;https://www.edx.org/course/exercising-leadership-foundational-principles;;;;;
data science: probability;135859.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-probability;;;;;
introduction to data wise: a collaborative process to improve learning & teaching;117410.0;harvard university;intermediate;education & teacher training;en;10 weeks;70.0;usd;https://www.edx.org/course/introduction-to-data-wise-a-collaborative-process;;;;;
prescription drug regulation; cost; and access: current controversies in context;80082.0;harvard university;introductory;medicine;en;8 weeks;99.0;usd;https://www.edx.org/course/prescription-drug-regulation-cost-and-access-curre;;;
introduction to family engagement in education;105146.0;harvard university;introductory;education & teacher training;en;6 weeks;70.0;usd;https://www.edx.org/course/introduction-to-family-engagement-in-education;;;;;
italian language and culture: beginner (2019-2020);182462.0;wellesley college;introductory;language;it;12 weeks;49.0;usd;https://www.edx.org/course/italian-language-and-culture-beginner-2019-2020;;;;;
steps in japanese for beginners1 part1;53630.0;waseda university;introductory;language;en;5 weeks;49.0;usd;https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2;;;;;
how to write an essay;306787.0;university of california, berkeley;introductory;humanities;en;5 weeks;49.0;usd;https://www.edx.org/course/how-to-write-an-essay;;;;;
energy within environmental constraints;95324.0;harvard university;introductory;environmental studies;en;10 weeks;99.0;usd;https://www.edx.org/course/energy-within-environmental-constraints;;;;;
introduction to probability;97291.0;harvard university;intermediate;data analysis & statistics;en;10 weeks;99.0;usd;https://www.edx.org/course/introduction-to-probability;;;;;
anatomyx: musculoskeletal cases;102075.0;harvard university;intermediate;medicine;en;7 weeks;99.0;usd;https://www.edx.org/course/anatomyx-musculoskeletal-cases;;;;;
data science: inference and modeling;88256.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-inference-and-modeling;;;;;
strengthening community health worker programs;58626.0;harvard university;introductory;health & safety;en;6 weeks;79.0;usd;https://www.edx.org/course/strengthening-community-health-worker-programs;;;;;
buddhism through its scriptures;182295.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/buddhism-through-its-scriptures;;;;;
introduction to linux;642088.0;the linux foundation;introductory;computer science;en;14 weeks;199.0;usd;https://www.edx.org/course/introduction-to-linux;;;;;
bioethics: the law; medicine; and ethics of reproductive technologies and genetics;81221.0;harvard university;introductory;medicine;en;10 weeks;99.0;usd;https://www.edx.org/course/bioethics-the-law-medicine-and-ethics-of-reproduct;;;
shakespeare's life and work;48938.0;harvard university;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/shakespeares-life-and-work;;;;;
marketing digital: content & community manager;112623.0;universidad galileo;introductory;communication;es;5 weeks;49.0;usd;https://www.edx.org/course/marketing-digital-content-community-manager;;;;;
accounting and finance;88243.0;indian institute of management bangalore;intermediate;business & management;en;11 weeks;150.0;usd;https://www.edx.org/course/accounting-and-finance;;;;;
computing in python i: fundamentals and procedural programming;141966.0;the georgia institute of technology;introductory;computer science;en;5 weeks;99.0;usd;https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural;;;;;
nutrition; exercise and sports;51679.0;wageningen university & research;intermediate;food & nutrition;en;6 weeks;49.0;usd;https://www.edx.org/course/nutrition-exercise-and-sports;;;;
becoming an entrepreneur;104760.0;massachusetts institute of technology;introductory;business & management;en;6 weeks;69.0;usd;https://www.edx.org/course/becoming-an-entrepreneur;;;;;
religion; conflict and peace;74060.0;harvard university;introductory;humanities;en;8 weeks;49.0;usd;https://www.edx.org/course/religion-conflict-and-peace;;;;
tangible things: discovering history through artworks; artifacts; scientific specimens; and the stuff around you;61139.0;harvard university;introductory;humanities;en;10 weeks;49.0;usd;https://www.edx.org/course/tangible-things-discovering-history-through-artwor;;
academic and business writing;322701.0;university of california, berkeley;introductory;communication;en;6 weeks;49.0;usd;https://www.edx.org/course/academic-and-business-writing;;;;;
data science: capstone;62803.0;harvard university;introductory;data analysis & statistics;en;2 weeks;99.0;usd;https://www.edx.org/course/data-science-capstone;;;;;
basics of computing and programming;37045.0;new york university;introductory;computer science;en;9 weeks;200.0;usd;https://www.edx.org/course/basics-of-computing-and-programming;;;;;
fundamentals of neuroscience; part 2: neurons and networks;84874.0;harvard university;introductory;biology & life sciences;en;6 weeks;99.0;usd;https://www.edx.org/course/fundamentals-of-neuroscience-part-2-neurons-and-ne;;;;
successful negotiation: essential strategies and skills;31369.0;the university of michigan;introductory;business & management;en;7 weeks;49.0;usd;https://www.edx.org/course/successful-negotiation-essential-strategies-and-skills;;;;;
data science: linear regression;75310.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-linear-regression;;;;;
html5 and css fundamentals;335895.0;the world wide web consortium (w3c);introductory;computer science;en;6 weeks;199.0;usd;https://www.edx.org/course/html5-and-css-fundamentals;;;;;
data science:ï¿½ï¿½productivity t;66683.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-productivity-tools;;;;;
introduction to corporate finance;98093.0;columbia university;introductory;business & management;en;4 weeks;225.0;usd;https://www.edx.org/course/introduction-to-corporate-finance;;;;;
computer science 101;39540.0;stanford university;introductory;computer science;en;6 weeks;149.0;usd;https://www.edx.org/course/computer-science-101;;;;;
data science: wrangling;64584.0;harvard university;introductory;data analysis & statistics;en;8 weeks;49.0;usd;https://www.edx.org/course/data-science-wrangling;;;;;
a hands-on introduction to engineering simulations;187138.0;cornell university;intermediate;engineering;en;6 weeks;199.0;usd;https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations;;;;;
ai for everyone: master the basics;49340.0;ibm;introductory;computer science;en;4 weeks;49.0;usd;https://www.edx.org/course/artificial-intelligence-for-everyone;;;;;
the psychology of criminal justice;110086.0;the university of queensland;introductory;humanities;en;8 weeks;99.0;usd;https://www.edx.org/course/the-psychology-of-criminal-justice;;;;;
machine learning with python: a practical introduction;80161.0;ibm;introductory;data analysis & statistics;en;5 weeks;39.0;usd;https://www.edx.org/course/machine-learning-with-python-a-practical-introduct;;;;;
analyzing data with python;94079.0;ibm;introductory;data analysis & statistics;en;5 weeks;39.0;usd;https://www.edx.org/course/analyzing-data-with-python;;;;;
excel: gestiï¿½ï¿½n de d;111785.0;universitat politï¿½ï¿½cnica de vale;intermediate;computer science;es;6 weeks;75.0;usd;https://www.edx.org/course/excel-gestion-de-datos;;;;;
probability - the science of uncertainty and data;205615.0;massachusetts institute of technology;advanced;data analysis & statistics;en;16 weeks;300.0;usd;https://www.edx.org/course/probability-the-science-of-uncertainty-and-data;;;;;
fundamentals of neuroscience; part 3: the brain;85034.0;harvard university;introductory;biology & life sciences;en;8 weeks;99.0;usd;https://www.edx.org/course/fundamentals-of-neuroscience-part-3-the-brain;;;;
sikhism through its scriptures;44125.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/sikhism-through-its-scriptures;;;;;
upper-intermediate english: business and modern life;77991.0;universitat politï¿½ï¿½cnica de vale;intermediate;language;en;4 weeks;50.0;usd;https://www.edx.org/course/upper-intermediate-english-modern-life;;;;;
introduction to probability;97291.0;harvard university;intermediate;data analysis & statistics;en;10 weeks;99.0;usd;https://www.edx.org/course/introduction-to-probability;;;;;
religious literacy: traditions and scriptures;96972.0;harvard university;introductory;humanities;en;4 weeks;99.0;usd;https://www.edx.org/course/religious-literacy-traditions-and-scriptures;;;;;
programaciï¿½ï¿½n para todos (empezando con pyt;81004.0;the university of michigan;introductory;computer science;es;7 weeks;49.0;usd;https://www.edx.org/course/programacion-para-todos-empezando-con-python;;;;;
analyzing and visualizing data with power bi;28879.0;davidson college;introductory;data analysis & statistics;en;4 weeks;99.0;usd;https://www.edx.org/course/data-analysis-in-power-bi;;;;;
high-dimensional data analysis;78443.0;harvard university;advanced;data analysis & statistics;en;4 weeks;149.0;usd;https://www.edx.org/course/high-dimensional-data-analysis;;;;;
introduction to music theory;67029.0;berklee college of music;introductory;humanities;en;6 weeks;49.0;usd;https://www.edx.org/course/introduction-to-music-theory-2;;;;;
human anatomy;126850.0;the hong kong polytechnic university;introductory;medicine;en;8 weeks;139.0;usd;https://www.edx.org/course/human-anatomy;;;;;
citiesx: the past; present and future of urban life;76874.0;harvard university;introductory;social sciences;en;11 weeks;99.0;usd;https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life;;;;
the path to happiness: what chinese philosophy teaches us about the good life;24208.0;harvard university;introductory;philosophy & ethics;en;13 weeks;99.0;usd;https://www.edx.org/course/the-path-to-happiness;;;;;
entrepreneurship 101: who is your customer?;41838.0;massachusetts institute of technology;introductory;business & management;en;10 weeks;49.0;usd;https://www.edx.org/course/entrepreneurship-101-who-is-your-customer;;;;;
u.s. public policy: social; economic; and foreign policies;44045.0;harvard university;introductory;social sciences;en;4 weeks;49.0;usd;https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic;;;
machine learning with python: from linear models to deep learning;85561.0;massachusetts institute of technology;advanced;computer science;en;15 weeks;300.0;usd;https://www.edx.org/course/machine-learning-with-python-from-linear-models-to;;;;;
introduction to data science;43766.0;ibm;introductory;data analysis & statistics;en;6 weeks;39.0;usd;https://www.edx.org/course/intro-to-data-science;;;;;
circuits and electronics 1: basic circuit analysis;52639.0;massachusetts institute of technology;introductory;electronics;en;5 weeks;169.0;usd;https://www.edx.org/course/circuits-and-electronics-1-basic-circuit-analysi-2;;;;;
introduction to investments;91788.0;indian institute of management bangalore;intermediate;business & management;en;5 weeks;50.0;usd;https://www.edx.org/course/introduction-to-investments;;;;;
improving your business through a culture of health;54136.0;harvard university;introductory;business & management;en;9 weeks;99.0;usd;https://www.edx.org/course/improving-your-business-through-a-culture-of-healt;;;;;
