course_title,url,price,num_subscribers,level,content_duration,subject,language
Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,200,2147,For all,1.5,Business Finance,en
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,75,2792,For all,39.0,Business Finance,en
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,2174,Intermediate,2.5,Business Finance,en
Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,2451,For all,3.0,Business Finance,en
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,1276,Intermediate,2.0,Business Finance,en
Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,9221,For all,3.0,Business Finance,en
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,1540,Introductory,1.0,Business Finance,en
"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,2917,For all,2.5,Business Finance,en
Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,195,5172,Advanced,2.5,Business Finance,en
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,827,For all,1.0,Business Finance,en
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,4284,For all,5.0,Business Finance,en
Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,200,1380,For all,1.0,Business Finance,en
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,30,3607,For all,1.5,Business Finance,en
Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,195,4061,For all,2.0,Business Finance,en
Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,200,294,For all,7.0,Business Finance,en
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,2276,Intermediate,1.5,Business Finance,en
Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,20,4919,Introductory,1.5,Business Finance,en
The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,200,2666,For all,4.0,Business Finance,en
7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,50,5354,For all,1.5,Business Finance,en
Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,8095,Introductory,0.5833333333333334,Business Finance,en
Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,200,809,For all,2.0,Business Finance,en
Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,200,2295,For all,4.0,Business Finance,en
Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,10149,For all,2.0,Business Finance,en
Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,50,1916,Introductory,1.0,Business Finance,en
The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,45,2507,For all,2.0,Business Finance,en
Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,150,5786,For all,5.0,Business Finance,en
Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,200,5334,For all,4.5,Business Finance,en
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,175,4005,Intermediate,2.0,Business Finance,en
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,150,2877,For all,4.5,Business Finance,en
Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,140,1026,Introductory,3.0,Business Finance,en
Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,95,1165,Introductory,2.5,Business Finance,en
THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,200,1843,For all,1.5,Business Finance,en
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,45,8797,For all,6.5,Business Finance,en
Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,200,1030,For all,2.0,Business Finance,en
The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,200,1041,For all,1.5,Business Finance,en
Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,195,7884,Intermediate,10.0,Business Finance,en
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,195,16900,Introductory,5.5,Business Finance,en
"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,11441,For all,4.5,Business Finance,en
Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,22257,For all,7.5,Business Finance,en
The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,195,8575,For all,5.5,Business Finance,en
The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,195,24481,For all,10.0,Business Finance,en
Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,195,3811,For all,6.5,Business Finance,en
Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,195,4991,Introductory,11.5,Business Finance,en
Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,7489,Intermediate,1.0,Business Finance,en
Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,200,20195,For all,16.0,Business Finance,en
Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,10042,For all,3.0,Business Finance,en
